Set,C,UC,R,SR,L,SEC,SP CARD,TR,P,C (%),UC (%),R (%),SR (%),L (%),SEC (%),SP CARD (%),TR (%),P (%)
OP01,6000,3000,2000,680,155,165,0,0,0,50.0,25.0,16.666666666666664,5.666666666666666,1.2916666666666667,1.375,0.0,0.0,0.0
OP02,6000,3000,2000,667,167,166,0,0,0,50.0,25.0,16.666666666666664,5.558333333333334,1.3916666666666668,1.3833333333333333,0.0,0.0,0.0
OP03,6000,3000,2000,512,159,156,173,0,0,50.0,25.0,16.666666666666664,4.266666666666667,1.325,1.3,1.4416666666666667,0.0,0.0
OP04,6000,3000,2000,501,168,160,171,0,0,50.0,25.0,16.666666666666664,4.175,1.4000000000000001,1.3333333333333335,1.425,0.0,0.0
OP05,6000,3000,2000,495,154,188,163,0,0,50.0,25.0,16.666666666666664,4.125,1.2833333333333334,1.5666666666666667,1.3583333333333332,0.0,0.0
OP06,6000,3000,2000,360,144,169,178,149,0,50.0,25.0,16.666666666666664,3.0,1.2,1.4083333333333332,1.4833333333333334,1.2416666666666667,0.0
OP07,6000,3000,2000,342,168,154,169,167,0,50.0,25.0,16.666666666666664,2.85,1.4000000000000001,1.2833333333333334,1.4083333333333332,1.3916666666666668,0.0
OP08,6000,3000,2000,471,158,183,188,0,0,50.0,25.0,16.666666666666664,3.925,1.3166666666666667,1.525,1.5666666666666667,0.0,0.0
OP09,6000,3000,2000,503,167,153,177,0,0,50.0,25.0,16.666666666666664,4.191666666666666,1.3916666666666668,1.275,1.4749999999999999,0.0,0.0
